uid,relaxing_with_others,working_with_others,relaxing_alone,working_alone
u00,1.47368421053,2.68421052632,1.57894736842,2.05263157895
u01,3.33333333333,2.0,2.33333333333,1.66666666667
u02,2.0,2.375,1.0,2.25
u03,1.72727272727,1.09090909091,1.90909090909,2.54545454545
u04,2.46153846154,1.84615384615,2.84615384615,1.92307692308
u07,1.33333333333,1.44444444444,1.88888888889,2.44444444444
u08,1.2962962963,2.14814814815,1.44444444444,3.37037037037
u10,1.07142857143,1.0,1.28571428571,3.0
u12,1.0,1.33333333333,1.0,4.5
u14,2.375,2.625,1.625,1.875
u15,3.33333333333,2.33333333333,1.33333333333,1.0
u16,2.08,1.92,1.24,2.96
u17,1.0,1.15789473684,1.52631578947,4.78947368421
u18,1.46153846154,1.92307692308,1.84615384615,1.46153846154
u19,1.84210526316,2.36842105263,1.0,3.55263157895
u20,2.0,1.5,4.0,4.0
u22,1.81818181818,2.36363636364,1.0,2.72727272727
u23,1.1,1.1,1.2,2.1
u24,2.71428571429,1.0,1.71428571429,1.42857142857
u25,1.25,1.5,1.5,3.25
u27,1.28571428571,1.42857142857,1.57142857143,2.0
u30,2.4,1.8,1.0,2.8
u31,2.0,1.33333333333,1.33333333333,3.33333333333
u32,2.65,2.4,1.0,2.05
u33,1.71428571429,2.07142857143,2.5,2.14285714286
u34,3.0,3.0,4.0,2.0
u35,1.66666666667,2.66666666667,1.66666666667,3.0
u36,1.57142857143,2.42857142857,1.5,2.42857142857
u39,1.0,1.0,1.4,1.6
u41,1.5,2.25,1.5,3.0
u42,2.5,2.0,2.5,2.0
u43,2.16666666667,1.77777777778,1.16666666667,1.94444444444
u44,1.33333333333,1.07692307692,1.48717948718,3.4358974359
u45,1.0,1.0,2.0,3.0
u46,2.28571428571,1.85714285714,1.42857142857,2.71428571429
u47,1.0,1.75,2.0,4.25
u49,1.77272727273,2.63636363636,2.13636363636,3.0
u50,3.25,3.0,2.5,2.5
u51,1.35714285714,1.5,1.5,1.78571428571
u52,2.85714285714,1.42857142857,1.42857142857,1.14285714286
u53,2.14285714286,2.0,1.42857142857,2.42857142857
u54,1.0,3.0,1.5,2.0
u56,2.66666666667,1.66666666667,1.5,2.08333333333
u57,2.53333333333,2.4,1.26666666667,1.73333333333
u58,2.75,2.75,3.35,3.35
u59,2.64516129032,2.51612903226,1.90322580645,1.83870967742
