uid,audio_inference
u00,0.834440714822
u01,0.807255330878
u02,0.654300411472
u03,0.200438428552
u04,0.956129507056
u05,0.655801818572
u07,0.64858331631
u08,0.707495761032
u09,0.718957420593
u10,0.629897675881
u12,0.612246271964
u13,0.509798646966
u14,0.916176616651
u15,0.700185309186
u16,0.521066794051
u17,0.527520640896
u18,0.501466105998
u19,0.529732477478
u20,0.481954529705
u22,0.588016383309
u23,0.52556877822
u24,0.715019761932
u25,0.78080986717
u27,0.561978061042
u30,0.922529933451
u31,0.617312467806
u32,0.77236861284
u33,0.70852114109
u34,0.662089337546
u35,0.464024362373
u36,0.518438383816
u39,0.184088370596
u41,0.612906650087
u42,0.478898520212
u43,0.64091806747
u44,0.406676900198
u45,0.652997235201
u46,0.846288461758
u47,0.549766176112
u49,0.618604701123
u50,0.318468678004
u51,0.550942312368
u52,0.406062284028
u53,0.527682195113
u54,0.57005634982
u56,0.636640143419
u57,0.889497266275
u58,0.68809600528
u59,0.875285698732
