uid,night_duration,bedtime_early
u00,360.02109375,5.4375
u01,429.727419355,6.0
u02,424.712209302,5.97674418605
u03,466.70625,6.16666666667
u04,420.302642276,5.13414634146
u05,447.040931373,5.76470588235
u07,471.859848485,7.28787878788
u08,355.798391813,8.64912280702
u09,510.539473684,5.57894736842
u10,428.777240143,4.90860215054
u12,465.786627907,4.16279069767
u13,436.600854701,6.20512820513
u14,414.066666667,6.09459459459
u15,458.003333333,5.9
u16,445.793055555,5.36111111111
u17,385.887393162,6.24358974359
u18,474.496052632,5.28947368421
u19,478.28,6.14
u20,475.312820513,6.30769230769
u22,420.826879085,5.67156862745
u23,446.910763889,3.45833333333
u24,437.020833333,5.625
u25,489.455555556,3.66666666667
u27,441.376811594,6.69565217391
u30,465.450806452,6.09677419355
u31,333.075245098,7.08823529412
u32,447.8515625,5.5625
u33,407.979292929,6.74242424242
u34,380.797619048,5.28571428571
u35,356.8,3.8
u36,446.564903846,6.82692307692
u39,564.733333333,6.0
u41,545.935714286,7.0
u42,379.596666667,7.08
u43,505.069318182,5.77272727273
u44,495.945833333,5.35714285714
u45,485.407222222,6.6
u46,326.322962963,8.31111111111
u47,443.874074074,6.55555555556
u49,343.483333333,6.0
u50,427.146825397,6.95238095238
u51,425.890432099,5.44444444444
u52,361.868803419,5.42307692308
u53,397.849305556,7.125
u54,354.098796296,7.23333333333
u56,481.925490196,4.17647058824
u57,410.857189542,6.92156862745
u58,474.415217391,5.63043478261
u59,352.828598485,7.71590909091
