uid,start,end,duration,start_hour
u00,1366979361.67,1366988780.95,156.98799435,12.8079096045
u01,1366967088.99,1366979831.64,212.377420635,14.1136173768
u02,1367139273.46,1367150789.24,191.929717813,12.9322751323
u03,1366360321.44,1366375403.14,251.361561303,10.5706896552
u04,1366766473.11,1366778763.48,204.83957786,12.8569376026
u05,1366894601.6,1366907963.7,222.701753827,12.3863945578
u07,1366419893.76,1366433972.97,234.653558764,11.7542553191
u08,1367015186.72,1367027248.1,201.023101638,9.18655913978
u09,1367206732.23,1367218324.03,193.196653439,13.4624338624
u10,1367118611.6,1367130082.63,191.183759758,12.8725800156
u12,1367161872.11,1367173056.32,186.403514274,14.7078002843
u13,1367055966.06,1367071210.14,254.068073871,9.77811355311
u14,1366636023.68,1366650227.85,236.736128118,12.6840136054
u15,1366052161.78,1366067428.59,254.446701389,13.4236111111
u16,1367067534.42,1367078245.58,178.519395161,14.4040322581
u17,1366889214.0,1366901634.79,207.013219855,12.6642439432
u18,1366495238.46,1366507781.7,209.053989899,13.3412878788
u19,1367222389.07,1367237323.78,248.91186067,10.5037037037
u20,1366523391.12,1366536224.49,213.889453405,13.8462365591
u22,1366964678.24,1366977801.75,218.725138889,13.5616666667
u23,1366813234.35,1366826892.47,227.635422584,12.1819131161
u24,1365614971.59,1365625013.77,167.369613095,14.4625
u25,1366190470.61,1366200698.04,170.457285714,13.6361904762
u27,1367210436.12,1367219545.32,151.820026455,14.0875661376
u30,1366916495.49,1366929058.18,209.37802381,13.2418614719
u31,1367169975.83,1367180549.23,176.223378183,10.5625868056
u32,1367187906.27,1367200246.66,205.673269981,13.5052631579
u33,1366649799.36,1366663127.99,222.143814866,13.671978022
u34,1366429349.93,1366439801.18,174.187458848,14.8648148148
u35,1366744496.29,1366757016.47,208.66962963,13.1388888889
u36,1367240791.69,1367252204.95,190.220992979,12.6376556777
u39,1365568825.21,1365586053.36,287.135714286,14.4285714286
u41,1366726809.84,1366739674.78,214.41558642,12.4907407407
u42,1366801451.1,1366815551.11,235.000185185,12.3782051282
u43,1367067820.75,1367080439.88,210.318770686,13.0719858156
u44,1367158621.13,1367171289.25,211.135271003,13.7666666667
u45,1367187007.96,1367201073.92,234.432682292,12.6380208333
u46,1366977556.75,1366988520.8,182.734049145,9.62211538462
u47,1367291538.42,1367305768.43,237.166888889,12.3433333333
u49,1369172003.31,1369182534.58,175.521052632,10.9912280702
u50,1366343628.12,1366358669.41,250.688194444,10.2113095238
u51,1367163320.82,1367174582.84,187.700424473,14.7038056206
u52,1367267202.19,1367278683.44,191.354284221,13.7718894009
u53,1366563675.95,1366578254.94,242.983043735,12.9953900709
u54,1366421337.77,1366431869.07,175.521608025,10.5882539683
u56,1366850184.2,1366863649.55,224.422590703,13.7602040816
u57,1367218498.9,1367230074.13,192.920365203,12.0264880952
u58,1366943227.27,1366954335.62,185.13915572,13.1499589491
u59,1367125107.21,1367136195.39,184.803014613,10.5494331066
