uid,time_exercise_factor,time_walking_factor,days_exercise,days_skipped_exercise
u00,2.0,1.7027027027,12,21
u02,2.0,2.41666666667,6,1
u04,4.08333333333,2.58333333333,12,1
u07,2.38461538462,2.30769230769,5,2
u08,1.51612903226,2.41935483871,6,23
u10,1.7,2.1,6,13
u12,2.0,1.88888888889,4,5
u16,1.86842105263,2.57894736842,13,8
u17,1.19047619048,2.66666666667,3,18
u18,2.6,2.4,7,1
u19,2.77272727273,2.34090909091,24,18
u22,2.2,1.0,12,1
u23,1.29411764706,1.35294117647,2,1
u24,1.88888888889,2.11111111111,4,4
u25,4.0,2.2,4,1
u30,1.66666666667,2.66666666667,2,4
u31,3.0,2.875,3,2
u33,1.14705882353,2.38235294118,2,10
u35,1.4,3.0,1,3
u36,2.45833333333,2.41666666667,4,17
u39,1.0,1.0,1,1
u44,1.18181818182,2.38636363636,3,1
u46,1.69230769231,2.30769230769,3,3
u47,1.33333333333,2.11111111111,1,3
u49,1.52,1.36,6,3
u50,2.0,2.0,1,1
u53,1.19047619048,1.80952380952,3,3
u56,1.33333333333,2.0,1,2
u57,2.4375,2.96875,16,11
u58,2.5,2.86666666667,13,7
u59,1.13888888889,3.0,2,30
