uid,sleep_hours_factor,sleep_quality,sleep_rested
u00,7.21428571429,3.02380952381,1.14285714286
u01,7.05,3.35,1.85
u02,8.10526315789,3.05263157895,1.52631578947
u03,8.22222222222,3.16666666667,1.16666666667
u04,6.5652173913,3.0,1.0
u07,7.13333333333,3.06666666667,1.06666666667
u08,6.9696969697,3.18181818182,1.18181818182
u10,7.87179487179,2.82051282051,1.23076923077
u12,7.95,3.4,1.15
u13,8.0,4.0,1.0
u14,7.04,3.44,1.44
u15,7.25,3.0,1.1875
u16,7.9298245614,3.0350877193,1.21052631579
u17,4.58823529412,2.29411764706,2.5
u18,5.46153846154,3.07692307692,1.76923076923
u19,7.85714285714,3.34693877551,2.42857142857
u20,6.33333333333,3.0,1.0
u22,8.76923076923,3.61538461538,1.0
u23,7.58823529412,3.41176470588,1.29411764706
u24,7.875,2.75,1.1875
u25,7.1,2.8,1.4
u27,4.91666666667,2.41666666667,1.41666666667
u30,7.03571428571,3.42857142857,1.10714285714
u31,5.5,2.16666666667,2.33333333333
u32,8.15555555556,2.64444444444,1.31111111111
u33,6.83333333333,2.69444444444,1.47222222222
u34,6.8,3.6,1.2
u35,7.04545454545,3.63636363636,1.13636363636
u36,7.64285714286,3.07142857143,1.0
u39,7.8,4.0,1.0
u41,7.4,3.1,1.0
u42,6.71428571429,3.42857142857,1.71428571429
u43,7.5,2.75,1.625
u44,9.06896551724,3.86206896552,2.10344827586
u45,7.72727272727,3.90909090909,1.36363636364
u46,6.2,2.65,1.45
u47,6.0,3.5,1.0
u49,7.05555555556,3.02777777778,1.66666666667
u50,6.75,3.0,1.25
u51,7.12903225806,3.06451612903,1.25806451613
u52,6.94736842105,3.68421052632,1.31578947368
u53,6.56,2.12,2.12
u54,5.77777777778,2.88888888889,1.33333333333
u56,9.28571428571,2.95238095238,1.0
u57,7.49090909091,3.01818181818,1.05454545455
u58,7.23636363636,3.43636363636,1.0
u59,5.93548387097,2.83870967742,1.88709677419
