uid,all_study_time,ave_study_time,days_studied
u00,2319.0,66.2571428571,35
u01,1280.0,45.7142857143,28
u02,1625.0,60.1851851852,27
u04,4734.0,48.8041237113,97
u05,661.0,47.2142857143,14
u07,83.0,27.6666666667,3
u08,7597.0,101.293333333,75
u09,5441.0,85.015625,64
u10,17671.0,76.1681034483,232
u12,2511.0,69.75,36
u13,39.0,39.0,1
u14,8539.0,133.421875,64
u15,2536.0,60.380952381,42
u16,110.0,55.0,2
u17,1773.0,53.7272727273,33
u18,1261.0,46.7037037037,27
u19,1472.0,70.0952380952,21
u20,3926.0,85.347826087,46
u22,2518.0,125.9,20
u23,226.0,37.6666666667,6
u24,1110.0,79.2857142857,14
u25,1282.0,44.2068965517,29
u27,3859.0,43.3595505618,89
u30,8538.0,78.3302752294,109
u31,367.0,91.75,4
u32,1898.0,79.0833333333,24
u33,167.0,41.75,4
u34,3469.0,78.8409090909,44
u35,4276.0,49.1494252874,87
u36,65.0,21.6666666667,3
u41,11217.0,147.592105263,76
u42,3564.0,54.0,66
u43,243.0,34.7142857143,7
u44,227.0,75.6666666667,3
u45,3666.0,79.6956521739,46
u46,5532.0,104.377358491,53
u47,708.0,50.5714285714,14
u49,13454.0,96.1,140
u50,29.0,29.0,1
u52,683.0,34.15,20
u53,93.0,46.5,2
u54,3682.0,64.5964912281,57
u56,78.0,78.0,1
u57,1023.0,73.0714285714,14
u58,78.0,78.0,1
u59,8742.0,94.0,93
